id,name,number,degree,hobbies,city,personality_traits,sex,age,origin_country,average_grade,language,learning_pace,career_focus
74,Ronald Lamb,+48558320784,Bachelor of Arts,"['traveling', 'music', 'art']",Poznan,"['responsible', 'intelligent', 'sneaky']",male,30,Poland,2.31,English + Poland,Fast,Medium
75,Rhonda Carter,+48839187604,Master of Science,"['sports', 'art', 'gaming']",Katowice,"['impatient', 'bossy', 'courageous', 'rigid']",female,23,Germany,2.1,English,Low,High
76,Brandi Vargas,+48457025725,Master of Science,"['cooking', 'sports', 'dancing', 'hiking', 'reading']",Gdansk,['congenial'],male,27,Poland,1.99,English + Poland,Low,Medium
77,Jason Aguirre,+48708207292,PhD,"['music', 'art', 'traveling', 'cooking', 'sports']",Wroclaw,"['dishonest', 'selfish', 'arrogant', 'responsible', 'helpful', 'unpredictable', 'trustworthy']",female,22,Ukraine,4.98,English + Ukraine,Medium,Low
78,David Rowe,+48692676571,PhD,"['traveling', 'art', 'music', 'gaming']",Warsaw,['rigid'],female,23,Poland,4.08,English + Poland,Medium,Low
79,Alex Curry,+48745736411,Master of Arts,['traveling'],Gdansk,"['helpful', 'argumentative', 'boorish', 'fair']",male,27,Ukraine,1.73,English + Ukraine,Medium,Low
80,Brian Davis MD,+48135836959,Bachelor of Science,"['reading', 'hiking']",Wroclaw,"['broad-minded', 'insightful', 'picky', 'self-centered', 'boorish']",male,23,France,2.35,English,Low,Medium
81,Mr. Michael Kidd,+48119957009,PhD,['music'],Wroclaw,"['unfriendly', 'rude', 'congenial', 'enthusiastic', 'disloyal', 'disrespectful']",male,23,Poland,3.63,English + Poland,Medium,Low
82,Andrea Garcia,+48644775956,Master of Arts,"['art', 'gaming', 'hiking', 'reading', 'cooking']",Katowice,"['apathetic', 'aggressive', 'helpful', 'dishonest', 'accepting', 'rigid']",male,22,Poland,3.91,English + Poland,Low,Medium
83,Ashley Garcia,+48182468790,Bachelor of Science,"['art', 'sports', 'cooking', 'gaming']",Lublin,"['discreet', 'sympathetic', 'understanding']",female,24,Ukraine,1.06,English + Ukraine,Fast,High
84,Andrew Woodward,+48280787215,PhD,"['traveling', 'reading', 'dancing', 'music', 'hiking']",Krakow,['persistent'],male,25,Poland,4.3,English + Poland,Low,Low
85,Justin Hodges,+48272859124,Master of Science,"['art', 'reading', 'hiking', 'dancing']",Lublin,"['exuberant', 'mindful']",male,26,Poland,3.34,English + Poland,Low,High
86,Tommy Park,+48134216771,PhD,"['art', 'reading', 'music', 'traveling', 'dancing']",Lublin,"['self-centered', 'patient', 'reliable', 'adaptable']",female,28,Poland,3.83,English + Poland,Low,Medium
87,Jamie Williams,+48615313288,Bachelor of Arts,"['hiking', 'gaming', 'music', 'reading']",Warsaw,['reliable'],female,25,Poland,2.1,English + Poland,Medium,Medium
88,Edward Price,+48346025571,PhD,"['art', 'cooking', 'reading', 'sports', 'gaming']",Wroclaw,"['lazy', 'insightful', 'vulgar', 'intelligent']",male,29,Ukraine,2.96,English + Ukraine,Low,Medium
89,Timothy White Jr.,+48656500675,Master of Arts,['sports'],Warsaw,"['picky', 'independent']",female,26,Ukraine,2.02,English + Ukraine,Low,Low
90,Nicole Anderson,+48723898345,PhD,"['art', 'music']",Gdansk,"['argumentative', 'self-centered', 'dishonest', 'charismatic']",female,29,Poland,2.38,English + Poland,Low,High
91,Rose White,+48451964866,Master of Arts,"['reading', 'cooking', 'traveling', 'hiking', 'art']",Katowice,"['courageous', 'adaptable']",female,27,Ukraine,2.31,English + Ukraine,Medium,High
92,Charlotte Mcdonald,+48294561057,Bachelor of Science,['dancing'],Warsaw,"['apathetic', 'aggressive', 'accepting', 'rude']",male,28,Spain,3.82,English,Low,Low
93,Jennifer Payne,+48986694574,Bachelor of Arts,"['traveling', 'dancing']",Katowice,"['compassionate', 'unfriendly', 'broad-minded', 'sociable', 'loyal', 'determined', 'friendly']",female,30,Ukraine,3.48,English + Ukraine,Low,Low
94,Anthony Buchanan,+48861187549,Master of Arts,['art'],Gdansk,"['self-centered', 'adaptable']",male,26,Poland,3.7,English + Poland,Medium,Medium
95,Marvin Brown,+48612081975,Bachelor of Science,"['traveling', 'dancing', 'music', 'cooking']",Wroclaw,"['exuberant', 'impatient', 'callous', 'manipulative']",female,22,USA,1.37,English,Low,Low
96,Jacob Carter,+48609223839,Master of Arts,"['music', 'traveling', 'art', 'cooking', 'sports']",Szczecin,"['rude', 'exuberant', 'uncertain', 'compassionate', 'sociable', 'obnoxious']",male,22,Ukraine,3.07,English + Ukraine,Low,High
97,Timothy Jackson,+48270114516,PhD,['music'],Katowice,"['creative', 'greedy', 'picky', 'honest', 'driven']",female,26,Ukraine,4.76,English + Ukraine,Medium,Low
98,Carolyn Harris,+48997097788,Bachelor of Arts,"['dancing', 'art', 'music', 'reading', 'gaming']",Krakow,"['sneaky', 'dishonest', 'forgetful', 'honest', 'reliable']",male,23,Poland,4.89,English + Poland,Medium,Medium
99,Melissa Bailey,+48559329235,Bachelor of Science,['dancing'],Warsaw,"['vulgar', 'affable']",male,24,Poland,2.86,English + Poland,Medium,Medium
100,Taylor Boyer,+48480864035,PhD,"['art', 'gaming', 'music', 'hiking', 'sports']",Warsaw,"['impulsive', 'sociable', 'selfish', 'manipulative', 'surly']",male,28,Ukraine,1.85,English + Ukraine,Low,Medium
101,Gene Nichols,+48261727252,Bachelor of Arts,['sports'],Gdansk,"['trustworthy', 'friendly', 'congenial', 'callous', 'insightful', 'impulsive']",male,25,Poland,2.17,English + Poland,Medium,High
102,Jennifer Hartman,+48867614881,Master of Arts,"['sports', 'dancing', 'reading', 'hiking']",Krakow,"['humble', 'lazy', 'reckless', 'kind']",male,30,Ukraine,1.98,English + Ukraine,Low,High
103,Jessica Hickman,+48238798146,Master of Science,"['dancing', 'art']",Lublin,"['rude', 'finicky', 'picky', 'forgetful', 'enthusiastic', 'creative', 'empathic']",female,28,Poland,2.03,English + Poland,Fast,High
104,Dale Mcgee,+48388990922,Master of Science,"['dancing', 'traveling']",Poznan,"['tolerant', 'affable']",female,30,Ukraine,2.88,English + Ukraine,Fast,Medium
105,Timothy Smith,+48489336976,PhD,"['music', 'gaming']",Wroclaw,"['boorish', 'determined', 'pessimistic']",male,23,Ukraine,4.51,English + Ukraine,Medium,Low
106,Mr. Richard Allen,+48508164122,Master of Science,"['gaming', 'sports', 'dancing', 'art', 'reading']",Gdansk,"['helpful', 'argumentative', 'empathic']",male,28,Ukraine,1.58,English + Ukraine,Medium,Low
107,Regina Mcdowell,+48517475998,Bachelor of Science,['hiking'],Lublin,['compassionate'],female,26,Poland,4.62,English + Poland,Fast,Medium
108,Samuel Valenzuela,+48454331387,Bachelor of Science,"['hiking', 'sports', 'traveling']",Lublin,"['stingy', 'argumentative', 'precise', 'sarcastic', 'lazy', 'confident', 'accepting']",male,23,Ukraine,3.33,English + Ukraine,Fast,High
109,James Edwards,+48784378390,Master of Science,"['traveling', 'hiking', 'dancing', 'cooking', 'music']",Lublin,['courageous'],male,23,Poland,4.2,English + Poland,Medium,Medium
110,Charles Stevenson,+48176034524,Bachelor of Arts,"['art', 'dancing', 'cooking']",Warsaw,"['compassionate', 'jealous', 'impatient', 'insightful', 'kind', 'unfriendly']",female,24,Poland,1.48,English + Poland,Low,Low
111,Debbie Garza,+48578011855,PhD,"['hiking', 'art', 'gaming', 'music', 'dancing']",Wroclaw,"['intelligent', 'rigid']",female,29,Poland,1.5,English + Poland,Medium,Low
112,Brian Long PhD,+48282151976,Bachelor of Arts,"['sports', 'reading', 'music', 'art', 'cooking']",Poznan,"['thoughtless', 'conceited', 'competent', 'mindful', 'slovenly', 'helpful', 'unpredictable']",female,28,Ukraine,1.68,English + Ukraine,Fast,Low
113,Kevin Wagner,+48448223200,Master of Science,"['dancing', 'music', 'sports']",Lublin,"['self-centered', 'malicious', 'empathic', 'slovenly', 'disloyal']",male,27,Poland,4.26,English + Poland,Fast,Medium
114,Jonathan Reed,+48113010835,Bachelor of Arts,"['art', 'reading', 'hiking']",Poznan,"['understanding', 'kind', 'reliable']",female,24,France,4.04,English,Low,Low
115,Melissa Horton,+48853527177,Master of Arts,"['dancing', 'hiking', 'music']",Krakow,['sarcastic'],male,26,Italy,4.1,English,Fast,Medium
116,Adriana Silva,+48772209151,PhD,"['dancing', 'gaming', 'sports', 'traveling', 'music']",Gdansk,"['argumentative', 'reckless', 'patient', 'sneaky', 'broad-minded', 'adaptable', 'affable']",male,28,Italy,2.16,English,Medium,Low
117,Justin Bradley,+48567759189,Master of Science,"['gaming', 'sports', 'cooking']",Lublin,['disloyal'],male,26,Ukraine,2.45,English + Ukraine,Medium,Low
118,Rita Bridges,+48170579374,Master of Science,"['sports', 'hiking', 'gaming', 'traveling', 'art']",Gdansk,"['impulsive', 'boorish', 'confident']",female,25,Italy,2.96,English,Fast,Medium
119,Jeffrey Byrd,+48522706830,Master of Science,"['music', 'cooking']",Krakow,"['unpredictable', 'adaptable']",female,25,Poland,3.16,English + Poland,Fast,Medium
120,Richard Shaw,+48052362654,Master of Science,['music'],Poznan,['pessimistic'],male,23,Poland,1.51,English + Poland,Medium,Low
121,Jennifer Houston,+48291931567,Bachelor of Science,"['art', 'music', 'sports', 'cooking', 'traveling']",Szczecin,"['persistent', 'selfish']",male,26,Ukraine,4.05,English + Ukraine,Low,High
122,Maureen Herman,+48216887642,Bachelor of Science,"['hiking', 'gaming', 'art', 'traveling']",Lublin,"['conceited', 'apathetic', 'humble', 'optimistic', 'trustworthy', 'impulsive', 'honest']",male,24,France,2.24,English,Low,High
123,Erica Wiley,+48343095414,Master of Arts,"['music', 'gaming', 'cooking', 'hiking', 'sports']",Poznan,"['boorish', 'confident']",female,25,Ukraine,2.21,English + Ukraine,Medium,Low
124,Casey Miller,+48028260514,Bachelor of Science,"['art', 'traveling', 'hiking', 'sports']",Krakow,"['persistent', 'forgetful']",male,23,Italy,1.33,English,Medium,High
125,Kevin Knox,+48807902916,Master of Arts,"['art', 'gaming', 'hiking', 'sports']",Katowice,"['cowardly', 'gregarious', 'enthusiastic', 'unpredictable', 'thoughtless', 'sneaky']",male,27,Ukraine,4.71,English + Ukraine,Fast,Medium
126,Russell Carroll,+48372070984,Master of Arts,"['traveling', 'music', 'art', 'gaming', 'dancing']",Katowice,"['apathetic', 'cowardly', 'intelligent', 'driven', 'rude', 'optimistic']",female,30,Poland,1.48,English + Poland,Medium,Low
127,Scott Page,+48409803680,Bachelor of Arts,"['reading', 'hiking']",Wroclaw,"['pessimistic', 'slovenly', 'surly', 'intelligent']",female,30,Poland,4.69,English + Poland,Fast,Medium
128,Paul Jennings,+48687891207,PhD,['music'],Gdansk,"['determined', 'charismatic', 'self-centered', 'fair', 'accepting']",male,30,Poland,3.98,English + Poland,Low,High
129,Jose Petersen,+48743097778,Master of Arts,"['hiking', 'art']",Katowice,"['competent', 'discreet', 'unfriendly', 'mindful', 'disloyal', 'gregarious', 'sociable']",male,27,Ukraine,3.29,English + Ukraine,Medium,Low
130,Brian Valenzuela,+48289400169,Bachelor of Science,"['cooking', 'music', 'art', 'traveling']",Szczecin,"['callous', 'enthusiastic', 'affable']",female,29,Poland,1.12,English + Poland,Fast,High
131,John Alexander,+48517699778,Master of Science,"['art', 'sports', 'hiking', 'reading', 'traveling']",Gdansk,"['competent', 'pessimistic', 'accepting', 'rigid']",male,26,Germany,2.77,English,Fast,High
132,Kara Hill,+48848913962,Bachelor of Arts,['music'],Katowice,"['tolerant', 'confident', 'adaptable', 'argumentative', 'sneaky']",female,28,Poland,4.77,English + Poland,Fast,Low
133,Paul Cohen,+48069601340,PhD,"['hiking', 'sports']",Krakow,"['boorish', 'congenial', 'finicky']",female,22,Ukraine,2.84,English + Ukraine,Medium,Medium
134,William Jones,+48959424805,Bachelor of Arts,"['dancing', 'art', 'gaming', 'traveling', 'hiking']",Wroclaw,"['indecisive', 'exuberant']",female,25,Poland,3.04,English + Poland,Medium,Low
135,Rhonda Crawford MD,+48734248302,Master of Science,"['reading', 'art']",Warsaw,"['sympathetic', 'patient']",female,27,Poland,3.79,English + Poland,Fast,Low
136,Christina Powell,+48863211435,Master of Science,"['traveling', 'dancing']",Szczecin,"['determined', 'malicious', 'argumentative']",male,23,Poland,1.21,English + Poland,Medium,Medium
137,Renee Johnson,+48842148320,PhD,"['dancing', 'hiking', 'art']",Poznan,"['manipulative', 'loyal', 'competent', 'impatient']",male,23,Ukraine,3.53,English + Ukraine,Low,Low
138,Scott Johnson,+48388546229,Bachelor of Arts,['sports'],Warsaw,"['sympathetic', 'disrespectful', 'independent']",male,27,Ukraine,3.03,English + Ukraine,Low,Low
139,Michelle Hartman,+48054523494,Master of Arts,"['traveling', 'music', 'reading', 'art', 'hiking']",Szczecin,"['courageous', 'pessimistic', 'gregarious', 'unpredictable', 'mindful', 'jealous']",female,27,Poland,1.71,English + Poland,Medium,Medium
140,Nicole Torres,+48416559820,PhD,"['gaming', 'hiking', 'cooking', 'reading', 'music']",Wroclaw,"['argumentative', 'responsible', 'manipulative', 'helpful', 'picky']",male,24,Ukraine,4.9,English + Ukraine,Medium,Medium
141,Emily Meyer,+48437084737,PhD,"['hiking', 'traveling', 'cooking', 'reading', 'gaming']",Gdansk,"['boorish', 'jealous', 'adaptable']",female,25,Poland,2.74,English + Poland,Low,Medium
142,Paul Newton,+48417757624,Master of Science,['art'],Lublin,"['slovenly', 'sympathetic']",male,28,Ukraine,2.22,English + Ukraine,Medium,Low
143,Jaime Martin,+48219581103,Master of Arts,"['cooking', 'music', 'hiking', 'art', 'dancing']",Poznan,"['humble', 'trustworthy', 'unpredictable', 'apathetic', 'vulgar']",male,22,France,4.53,English,Low,Low
